T,Lbest,Lcur
4000.000000000000,263693.352109824016,303458.531179897662
3980.000000000000,261613.786687355459,296696.490805719572
3960.100000000000,261613.786687355459,291736.213870664476
3940.299500000000,261613.786687355459,308430.513512752717
3920.598002500000,261406.718681789702,330335.002174499154
3900.995012487500,261406.718681789702,308294.258409650647
3881.490037425062,261406.718681789702,296078.423161916318
3862.082587237937,261359.133077409759,268545.859922140255
3842.772174301747,255382.541676814522,293242.802884230681
3823.558313430239,255382.541676814522,290896.846433812869
3804.440521863088,255382.541676814522,292336.158044692944
3785.418319253772,255382.541676814522,279250.790076610574
3766.491227657503,255382.541676814522,309220.185790152580
3747.658771519216,255382.541676814522,302587.913995380513
3728.920477661620,255382.541676814522,277478.923214155657
3710.275875273312,255382.541676814522,301471.768020012998
3691.724495896945,255382.541676814522,280584.039754496829
3673.265873417460,255382.541676814522,273599.193327764398
3654.899544050373,255382.541676814522,286034.735686351196
3636.625046330121,255382.541676814522,282420.934451909852
3618.441921098470,255382.541676814522,278477.149637446273
3600.349711492978,253920.284843214904,297096.023155020783
3582.347962935513,253920.284843214904,273197.623638536141
3564.436223120835,253920.284843214904,285042.349974038952
3546.614042005231,253920.284843214904,287451.505589332490
3528.880971795205,253920.284843214904,277019.141430438962
3511.236566936229,252506.472839751892,283201.270341152966
3493.680384101548,252506.472839751892,300105.273687649460
3476.211982181040,252506.472839751892,266264.993090133066
3458.830922270135,252506.472839751892,292368.009670176136
3441.536767658784,252506.472839751892,305852.595319755259
3424.329083820490,252506.472839751892,295351.509124968376
3407.207438401387,252506.472839751892,286664.417959113431
3390.171401209380,252506.472839751892,290546.002417795011
3373.220544203333,252506.472839751892,293788.561495228903
3356.354441482316,252506.472839751892,292356.823102303373
3339.572669274905,252506.472839751892,281809.524337994109
3322.874805928530,245922.875251313904,284419.637634399696
3306.260431898888,245922.875251313904,267817.131560433190
3289.729129739394,245922.875251313904,295949.964299783809
3273.280484090697,245922.875251313904,312410.118950670527
3256.914081670243,245922.875251313904,299545.260416913021
3240.629511261892,245922.875251313904,277197.415943425614
3224.426363705582,239877.172336798540,301117.218607906427
3208.304231887054,239877.172336798540,281799.049146009318
3192.262710727619,239877.172336798540,282071.468166761799
3176.301397173981,239877.172336798540,267548.412289745698
3160.419890188111,239877.172336798540,273200.317787152191
3144.617790737170,239877.172336798540,286956.044520702795
3128.894701783484,239877.172336798540,283676.931149736047
3113.250228274567,239877.172336798540,265253.171912132588
3097.683977133194,239877.172336798540,293885.266639566165
3082.195557247528,239877.172336798540,278555.807058745297
3066.784579461290,239877.172336798540,289528.345774576708
3051.450656563984,239877.172336798540,300727.063621187524
3036.193403281164,239877.172336798540,300901.422571669391
3021.012436264758,239877.172336798540,321576.639839017240
3005.907374083434,239877.172336798540,277518.501345954835
2990.877837213017,239877.172336798540,305038.960566578549
2975.923448026952,239877.172336798540,267949.037604159035
2961.043830786817,239877.172336798540,285012.343867557182
2946.238611632883,239877.172336798540,291434.899866523512
2931.507418574718,239877.172336798540,286173.950500969018
2916.849881481845,239877.172336798540,286258.857397822198
2902.265632074436,239877.172336798540,278578.216581585817
2887.754303914064,239877.172336798540,287363.750471840904
2873.315532394493,239877.172336798540,268912.753825409163
2858.948954732521,239877.172336798540,282970.678982836660
2844.654209958858,239877.172336798540,288109.253284261969
2830.430938909064,239877.172336798540,284227.575571337249
2816.278784214519,239877.172336798540,297882.295813976496
2802.197390293446,239877.172336798540,290548.782231137564
2788.186403341979,239877.172336798540,307871.981812717044
2774.245471325269,239877.172336798540,283872.064876487129
2760.374243968643,239877.172336798540,278284.419584767835
2746.572372748799,239877.172336798540,275294.395625201869
2732.839510885055,239877.172336798540,247996.486251891649
2719.175313330630,236445.305638112040,287394.802037092973
2705.579436763977,236445.305638112040,280385.443037751305
2692.051539580157,236445.305638112040,285093.793347526575
2678.591281882256,236445.305638112040,272865.535351795261
2665.198325472845,236445.305638112040,276636.537378043518
2651.872333845481,236445.305638112040,255934.735240623006
2638.612972176253,236445.305638112040,259703.879094040982
2625.419907315372,236445.305638112040,267358.245473421121
2612.292807778795,236445.305638112040,267984.328729932720
2599.231343739901,236445.305638112040,291279.157339899277
2586.235187021201,236445.305638112040,268514.425610792998
2573.304011086095,236445.305638112040,261387.493253681721
2560.437491030665,236445.305638112040,275883.759057443182
2547.635303575511,236445.305638112040,278888.671275317552
2534.897127057634,236445.305638112040,262287.045830857649
2522.222641422346,234697.267449273029,273985.629656016536
2509.611528215234,227122.777194543101,270229.086848983716
2497.063470574158,227122.777194543101,258946.131564316456
2484.578153221287,227122.777194543101,288742.894497362664
2472.155262455181,227122.777194543101,260555.631955309451
2459.794486142905,227122.777194543101,279696.635918014799
2447.495513712191,227122.777194543101,269190.687994593172
2435.258036143629,227122.777194543101,247008.866326231713
2423.081745962911,227122.777194543101,282155.200902342156
2410.966337233097,227122.777194543101,274920.030145322788
2398.911505546931,227122.777194543101,275776.020184190420
2386.916948019196,227122.777194543101,266187.493535109388
2374.982363279100,227122.777194543101,264400.970901501714
2363.107451462705,227122.777194543101,260262.790826230746
2351.291914205391,227122.777194543101,264066.842535637610
2339.535454634364,227122.777194543101,255625.498615095508
2327.837777361192,227122.777194543101,285194.597640262742
2316.198588474386,227122.777194543101,266536.260977452737
2304.617595532015,227122.777194543101,256816.053728304396
2293.094507554355,227122.777194543101,263940.062894497707
2281.629035016583,227122.777194543101,269135.261745709868
2270.220889841500,227122.777194543101,255379.691232404934
2258.869785392292,227122.777194543101,269149.789093218220
2247.575436465331,227122.777194543101,261159.573988487828
2236.337559283004,227122.777194543101,278732.868486901338
2225.155871486589,227122.777194543101,283009.607859007025
2214.030092129156,223588.894190416293,255993.744692670734
2202.959941668510,223588.894190416293,263105.283783886640
2191.945141960167,223588.894190416293,287258.728356232692
2180.985416250367,223588.894190416293,262262.950330105668
2170.080489169115,223588.894190416293,267579.939561543986
2159.230086723269,223588.894190416293,283658.058485282294
2148.433936289653,223588.894190416293,259673.064680029784
2137.691766608204,223588.894190416293,270564.687331615482
2127.003307775164,223588.894190416293,261615.736461411376
2116.368291236288,223588.894190416293,247184.805815740372
2105.786449780107,223588.894190416293,238938.004484751960
2095.257517531206,223588.894190416293,281360.328679580474
2084.781229943550,223588.894190416293,258521.118727081892
2074.357323793832,223588.894190416293,289363.862760332297
2063.985537174863,223588.894190416293,255084.845784836827
2053.665609488989,222194.155501730827,275285.995628033474
2043.397281441544,222194.155501730827,255153.926570064650
2033.180295034336,222194.155501730827,246273.514953409234
2023.014393559164,222194.155501730827,268380.457214039983
2012.899321591368,222194.155501730827,259899.088604417222
2002.834824983411,222194.155501730827,237862.032231817051
1992.820650858494,222194.155501730827,253962.139540927048
1982.856547604202,222194.155501730827,259780.487764825928
1972.942264866181,222194.155501730827,260691.107714154874
1963.077553541850,222194.155501730827,255204.857840063894
1953.262165774141,222194.155501730827,242645.068610020244
1943.495854945270,217172.225655783986,247119.068773286592
1933.778375670543,217172.225655783986,264910.352782236936
