T,Lbest,Lcur
4000.000000000000,2409221.391104421113,2424812.890269752592
3980.000000000000,2348254.334677643143,2350621.940175090451
3960.100000000000,2338832.747050221078,2494667.730764949229
3940.299500000000,2338832.747050221078,2454768.392753523309
3920.598002500000,2338832.747050221078,2425803.136616425123
3900.995012487500,2323510.602430925705,2426117.365932707209
3881.490037425062,2323510.602430925705,2409205.048708747607
3862.082587237937,2323510.602430925705,2419459.924802196212
3842.772174301747,2323510.602430925705,2406731.854558074381
3823.558313430239,2323510.602430925705,2487920.572387120221
3804.440521863088,2306449.867346335202,2343808.903968970757
3785.418319253772,2306449.867346335202,2516685.398755128961
3766.491227657503,2306449.867346335202,2375345.771838283632
3747.658771519216,2300365.930925739463,2331654.751963890623
3728.920477661620,2300365.930925739463,2411761.871949578635
3710.275875273312,2267890.179075915366,2304617.165441891644
3691.724495896945,2267890.179075915366,2320353.250047537964
3673.265873417460,2267890.179075915366,2377578.216039353516
3654.899544050373,2267890.179075915366,2425222.630311063956
3636.625046330121,2267890.179075915366,2412878.019576280378
3618.441921098470,2267890.179075915366,2317598.314333865419
3600.349711492978,2267890.179075915366,2410079.076486955397
3582.347962935513,2267890.179075915366,2288506.312693546992
3564.436223120835,2252156.502728231717,2347899.616312147584
3546.614042005231,2252156.502728231717,2321323.017624349333
3528.880971795205,2252156.502728231717,2325947.438750693109
3511.236566936229,2252156.502728231717,2377984.525548604783
3493.680384101548,2252156.502728231717,2403952.977061866317
3476.211982181040,2252156.502728231717,2345428.055126229767
3458.830922270135,2252156.502728231717,2324730.701130304020
3441.536767658784,2252156.502728231717,2350949.434620787390
3424.329083820490,2250535.701326591428,2336244.691635167692
3407.207438401387,2250535.701326591428,2431498.418939773459
3390.171401209380,2250535.701326591428,2348307.033477276098
3373.220544203333,2250535.701326591428,2345348.687761566602
3356.354441482316,2250535.701326591428,2423287.780130189843
3339.572669274905,2250535.701326591428,2358574.229258460458
3322.874805928530,2250535.701326591428,2356756.629980186000
3306.260431898888,2250535.701326591428,2364920.670878198463
3289.729129739394,2250535.701326591428,2338284.378342968412
3273.280484090697,2250535.701326591428,2390186.737582388334
3256.914081670243,2250535.701326591428,2298967.896047459450
3240.629511261892,2228184.415227099322,2323232.354167276062
3224.426363705582,2228184.415227099322,2340883.696623662021
3208.304231887054,2228184.415227099322,2359359.156761705410
3192.262710727619,2228184.415227099322,2332463.436896060128
3176.301397173981,2228184.415227099322,2342939.431994959246
3160.419890188111,2228184.415227099322,2353862.775223363657
3144.617790737170,2228184.415227099322,2377983.172966404352
3128.894701783484,2228184.415227099322,2240435.685370037332
3113.250228274567,2228184.415227099322,2258856.107701217756
3097.683977133194,2194095.096795448102,2304409.928230794612
3082.195557247528,2188742.480462699197,2194271.304717649706
3066.784579461290,2165443.921346395742,2293518.650441297330
3051.450656563984,2165443.921346395742,2291024.428281224798
3036.193403281164,2165443.921346395742,2250269.807358344551
3021.012436264758,2165443.921346395742,2226171.160442346707
3005.907374083434,2165443.921346395742,2369866.334636325482
2990.877837213017,2165443.921346395742,2334167.904236197937
2975.923448026952,2165443.921346395742,2239348.810268377420
2961.043830786817,2165443.921346395742,2317348.951171865687
2946.238611632883,2165443.921346395742,2297116.717636024579
2931.507418574718,2165443.921346395742,2276239.297546219546
2916.849881481845,2165443.921346395742,2282157.039290617220
2902.265632074436,2155866.647131371312,2209449.067975760903
2887.754303914064,2155866.647131371312,2262554.089515866246
2873.315532394493,2155866.647131371312,2270215.316486190073
2858.948954732521,2155866.647131371312,2223202.190931717865
2844.654209958858,2155866.647131371312,2224029.180703403894
2830.430938909064,2155866.647131371312,2210221.611432485282
2816.278784214519,2155866.647131371312,2196501.400550995953
2802.197390293446,2080712.833530621836,2090454.204445713200
2788.186403341979,2080712.833530621836,2177475.833290037233
2774.245471325269,2080712.833530621836,2233540.864039329812
2760.374243968643,2080712.833530621836,2196133.127773341723
2746.572372748799,2080712.833530621836,2217767.551265905611
2732.839510885055,2080712.833530621836,2239330.395788409282
2719.175313330630,2080712.833530621836,2166386.963781051338
2705.579436763977,2080712.833530621836,2180009.856349749491
2692.051539580157,2080712.833530621836,2172988.134048552718
2678.591281882256,2080712.833530621836,2272173.717132864520
2665.198325472845,2080712.833530621836,2203406.806527797598
2651.872333845481,2080712.833530621836,2219269.845465593506
2638.612972176253,2080712.833530621836,2189322.416142959148
2625.419907315372,2080712.833530621836,2222404.266013925895
2612.292807778795,2080712.833530621836,2214443.701841196511
2599.231343739901,2080712.833530621836,2216109.133645118214
2586.235187021201,2080712.833530621836,2168393.558713831939
2573.304011086095,2074773.209016345441,2081885.290314745391
2560.437491030665,2073276.220647062641,2131812.173649698030
2547.635303575511,2073276.220647062641,2091590.270187346498
2534.897127057634,2073276.220647062641,2163072.455544901546
2522.222641422346,2073276.220647062641,2178766.023792695254
2509.611528215234,2073276.220647062641,2132900.018209784757
2497.063470574158,2073276.220647062641,2145278.575657017995
2484.578153221287,2073276.220647062641,2193840.797695714980
2472.155262455181,2073276.220647062641,2181201.297229650430
2459.794486142905,2073276.220647062641,2091127.790371713229
2447.495513712191,2073276.220647062641,2147166.330751283094
2435.258036143629,2070568.503094042651,2114063.868125281297
2423.081745962911,2063640.569268115330,2081042.709373523248
2410.966337233097,2034415.030326716835,2047166.789018155774
2398.911505546931,2009567.339910393115,2083431.406088348245
2386.916948019196,2009567.339910393115,2088154.667527168291
2374.982363279100,2009567.339910393115,2100789.206828888040
2363.107451462705,2009567.339910393115,2095848.644679292105
2351.291914205391,2009567.339910393115,2101605.558587894309
2339.535454634364,2009567.339910393115,2117965.058963259682
